feature_name,dtype,unit,source_dataset,derivation,valid_range,nullable,provenance_required
candidate_id,string,identifier,Internal,assigned,TT-[0-9]{3},false,true
lat,float,degrees_north,Natural Earth / WGS84,raw coordinate pull (6 decimal places),-90..90,false,true
lon,float,degrees_east,Natural Earth / WGS84,raw coordinate pull (6 decimal places),-180..180,false,true
country,string,name,Natural Earth Admin 0,spatial polygon join,N/A,false,true
admin_region,string,name,Natural Earth Admin 1,spatial polygon join,N/A,true,true
elevation_m,float,meters,NASA SRTM 30m DEM,raw raster point pull,-450..8850,false,true
slope_deg_mean,float,degrees,NASA SRTM 30m DEM,computed (finite difference gradient in local UTM),0..90,false,true
slope_deg_max,float,degrees,NASA SRTM 30m DEM,computed (maximum local gradient in local UTM),0..90,false,true
terrain_roughness_index,float,meters,NASA SRTM 30m DEM,computed (Riley et al. TRI in local UTM),0..500,false,true
distance_to_nearest_settlement_km,float,kilometers,Natural Earth Populated Places / GHSL,computed (projected geodesic in EPSG:6933),0..5000,false,true
distance_to_road_km,float,kilometers,Natural Earth Roads / OSM,computed (projected geodesic in EPSG:6933),0..5000,false,true
population_density_within_10km,float,people_per_sq_km,WorldPop / GHSL,10km buffer areal density,0..150000,false,true
remoteness_index,float,normalized_index,Computed Composite,0.4*norm(dist_settle)+0.3*norm(dist_road)+0.3*(1-norm(pop_density)),0..1,false,true
land_cover_class,string,IGBP_classification,MODIS Land Cover (MCD12Q1),raw raster point query,N/A,false,true
vegetation_index_ndvi,float,normalized_ratio,Landsat 8/9 Collection 2,computed ((NIR-Red)/(NIR+Red)),-1..1,false,true
data_collection_date,string,ISO_date,Internal,system timestamp,YYYY-MM-DD,false,true
source_ids,string,delimited_list,Internal,concatenated sources,N/A,false,true
qa_flag,string,status,Internal QA,computed (A/B/C/F rubric),A|B|C|F,false,false
qa_notes,string,text,Internal QA,audit notes,N/A,true,false
