feature_name,completeness_pct,non_null_count,total_count,dtype,unit,min,p50_median,max,mean,std,source_dataset
candidate_id,100.0%,25,25,string,identifier,N/A,N/A,N/A,N/A,N/A,Internal
lat,100.0%,25,25,float,degrees_north,-77.533,14.242,79.983,8.445,43.809,Natural Earth / WGS84
lon,100.0%,25,25,float,degrees_east,-128.317,37.355,162.9,25.577,80.512,Natural Earth / WGS84
country,100.0%,25,25,string,name,N/A,N/A,N/A,N/A,N/A,Natural Earth Admin 0
admin_region,100.0%,25,25,string,name,N/A,N/A,N/A,N/A,N/A,Natural Earth Admin 1
elevation_m,100.0%,25,25,float,meters,-125.0,780.0,4820.0,1321.2,1460.263,NASA SRTM 30m DEM
slope_deg_mean,100.0%,25,25,float,degrees,0.4,11.2,28.5,11.484,7.815,NASA SRTM 30m DEM
slope_deg_max,100.0%,25,25,float,degrees,2.1,31.5,62.1,30.924,17.244,NASA SRTM 30m DEM
terrain_roughness_index,100.0%,25,25,float,meters,0.8,16.2,62.5,19.972,16.729,NASA SRTM 30m DEM
distance_to_nearest_settlement_km,100.0%,25,25,float,kilometers,7.2,88.0,240.0,97.028,64.184,Natural Earth Populated Places / GHSL
distance_to_road_km,100.0%,25,25,float,kilometers,0.4,38.0,240.0,59.092,59.711,Natural Earth Roads / OSM
population_density_within_10km,100.0%,25,25,float,people_per_sq_km,0.0,0.0,1.2,0.102,0.28,WorldPop / GHSL
remoteness_index,100.0%,25,25,float,normalized_index,0.31,0.411,0.78,0.448,0.119,Computed Composite
land_cover_class,100.0%,25,25,string,IGBP_classification,N/A,N/A,N/A,N/A,N/A,MODIS Land Cover (MCD12Q1)
vegetation_index_ndvi,100.0%,25,25,float,normalized_ratio,-0.12,0.04,0.68,0.089,0.169,Landsat 8/9 Collection 2
data_collection_date,100.0%,25,25,string,ISO_date,N/A,N/A,N/A,N/A,N/A,Internal
source_ids,100.0%,25,25,string,delimited_list,N/A,N/A,N/A,N/A,N/A,Internal
qa_flag,100.0%,25,25,string,status,N/A,N/A,N/A,N/A,N/A,Internal QA
qa_notes,100.0%,25,25,string,text,N/A,N/A,N/A,N/A,N/A,Internal QA
